experiment_id,pvalue_type,pvalue,bh_procedure_value
PSAUUKY,highknowledge_pvalue,0.02810918308884031,0.0011111111111111111
PSARZX2,baseline_pvalue,0.05217074447368477,0.0022222222222222222
PSARZX2,nonopportunityzone_pvalue,0.05441591928661465,0.0033333333333333335
PSAWHF4,highknowledge_pvalue,0.07463310238767064,0.0044444444444444444
PSAU4JD,nonopportunityzone_pvalue,0.08766435752019928,0.005555555555555556
PSARZX2,lowknowledge_pvalue,0.09607748429605825,0.006666666666666667
PSATZEJ,opportunityzone_pvalue,0.13209780944060345,0.007777777777777778
PSATZEJ,lowknowledge_pvalue,0.13882109510623722,0.008888888888888889
PSAUTWT,highknowledge_pvalue,0.14974986997866926,0.010000000000000002
PSAU4JD,highknowledge_pvalue,0.17649654005868273,0.011111111111111112
PSAUUKY,opportunityzone_pvalue,0.20518932214845567,0.012222222222222223
PSA59TP,opportunityzone_pvalue,0.2118817856877705,0.013333333333333334
PSAU4JD,baseline_pvalue,0.24905351583103627,0.014444444444444444
PSARZX2,opportunityzone_pvalue,0.316836583182075,0.015555555555555557
PSAUTWU,lowknowledge_pvalue,0.3523620744124306,0.016666666666666666
PSAUTWU,highknowledge_pvalue,0.3530716868381639,0.017777777777777778
PSA59TP,nonopportunityzone_pvalue,0.39989623002506447,0.01888888888888889
PSA98J7,opportunityzone_pvalue,0.4064370696045825,0.020000000000000004
PSAUUKY,baseline_pvalue,0.4401513934598148,0.021111111111111112
PSATZEJ,baseline_pvalue,0.4454167489996851,0.022222222222222223
PSA59TP,lowknowledge_pvalue,0.45004221279717205,0.023333333333333334
PSAUUKY,lowknowledge_pvalue,0.4841756805065207,0.024444444444444446
PSARZX2,highknowledge_pvalue,0.6035085149445183,0.025555555555555554
PSAUTWU,nonopportunityzone_pvalue,0.6418882832831327,0.02666666666666667
PSA98J7,baseline_pvalue,0.6987422912748051,0.02777777777777778
PSAUTWT,opportunityzone_pvalue,0.704001679676522,0.028888888888888888
PSAUTWT,lowknowledge_pvalue,0.7055233621516168,0.03
PSAUTWT,baseline_pvalue,0.7090888075010515,0.031111111111111114
PSAWHF4,nonopportunityzone_pvalue,0.7114977439128461,0.03222222222222223
PSAUTWU,baseline_pvalue,0.7145500831496032,0.03333333333333333
PSA59TP,highknowledge_pvalue,0.7314491883666616,0.034444444444444444
PSAWHF4,baseline_pvalue,0.7432953999667709,0.035555555555555556
PSAU4JD,opportunityzone_pvalue,0.7603803107138624,0.03666666666666667
PSAU4JD,lowknowledge_pvalue,0.8034727270497946,0.03777777777777778
PSATZEJ,highknowledge_pvalue,0.8577310614468865,0.03888888888888889
PSA98J7,highknowledge_pvalue,0.8635706715638123,0.04000000000000001
PSAWHF4,lowknowledge_pvalue,0.8649746775675556,0.04111111111111111
PSAUTWT,nonopportunityzone_pvalue,0.8843714483683375,0.042222222222222223
PSA98J7,nonopportunityzone_pvalue,0.8872554805441918,0.043333333333333335
PSAWHF4,opportunityzone_pvalue,0.9021505706220712,0.044444444444444446
PSATZEJ,nonopportunityzone_pvalue,0.9313327580009366,0.04555555555555556
PSAUUKY,nonopportunityzone_pvalue,0.9473550208491671,0.04666666666666667
PSA98J7,lowknowledge_pvalue,0.9492540183136642,0.04777777777777778
PSAUTWU,opportunityzone_pvalue,0.9748446378840357,0.04888888888888889
PSA59TP,baseline_pvalue,0.9876040001499522,0.05
